count,hour,minute,second,msec,pos1,pos2,pos3,vel1,vel2,vel3,cur1,cur2,cur3
1,18,57,40,861,20.0075,-59.9833,-9.9955,0,-0.044632,0.0192261,38,-114,5
2,18,57,40,866,20.0082,-59.984,-9.9955,0,-0.0377655,-0.0192261,37,-116,11
3,18,57,40,871,20.0082,-59.984,-9.9955,0,-0.0343323,0.00686646,37,-115,9
4,18,57,40,876,20.0089,-59.9833,-9.9955,0,-0.032959,0.0418854,37,-116,8
5,18,57,40,881,20.0082,-59.984,-9.9955,0,-0.00480652,0,36,-118,9
6,18,57,40,886,20.0089,-59.984,-9.9955,0,-0.042572,0,36,-116,10
7,18,57,40,891,20.0082,-59.9847,-9.9955,0,-0.0336456,0,35,-116,10
8,18,57,40,896,20.0089,-59.9847,-9.9955,0,-0.0405121,0.0254059,35,-117,10
9,18,57,40,900,20.0082,-59.9854,-9.99481,0.0604248,-0.0357056,0,32,-118,11
10,18,57,40,905,20.0089,-59.9847,-9.99481,0,-0.0363922,0,35,-118,13
11,18,57,40,910,20.0089,-59.9847,-9.9955,-0.00549316,-0.032959,0,36,-118,14
12,18,57,40,915,20.0082,-59.9847,-9.9955,0,-0.0295258,0,36,-119,14
13,18,57,40,920,20.0082,-59.9854,-9.9955,-0.0466919,-0.042572,0,38,-118,14
14,18,57,40,925,20.0082,-59.9854,-9.99481,0,-0.0370789,0,36,-119,13
15,18,57,40,930,20.0089,-59.986,-9.9955,0.00137329,-0.0405121,0,33,-119,16
16,18,57,40,935,20.0089,-59.986,-9.9955,0,-0.0377655,0,35,-120,19
17,18,57,40,940,20.0082,-59.9854,-9.99481,0,-0.044632,0,34,-120,18
18,18,57,40,945,20.0082,-59.986,-9.9955,0,0,0,35,-122,18
19,18,57,40,950,20.0089,-59.986,-9.9955,0.00961304,-0.0398254,0.0686646,36,-119,13
20,18,57,40,955,20.0089,-59.9854,-9.9955,0,-0.0405121,-0.0102997,35,-121,19
21,18,57,40,960,20.0089,-59.986,-9.99619,-0.00892639,-0.0178528,0.0398254,35,-123,19
22,18,57,40,965,20.0089,-59.986,-9.99481,0,-0.0123596,0,34,-123,21
23,18,57,40,970,20.0082,-59.986,-9.9955,-0.00205994,-0.0391388,0,34,-121,21
24,18,57,40,975,20.0089,-59.986,-9.9955,0,-0.00411987,0,35,-124,23
25,18,57,40,980,20.0089,-59.9867,-9.9955,0.0624847,-0.0233459,0,29,-121,25
26,18,57,40,985,20.0095,-59.986,-9.99481,0,0,0,33,-123,25
27,18,57,40,990,20.0095,-59.9867,-9.9955,-0.00205994,-0.0178528,0,31,-121,24
28,18,57,40,995,20.0095,-59.9867,-9.99481,0,-0.0178528,0,33,-124,25
29,18,57,41,0,20.0095,-59.9867,-9.9955,0.0377655,-0.0391388,-0.0178528,32,-123,28
30,18,57,41,5,20.0095,-59.9874,-9.9955,0.0192261,-0.0288391,0.0185394,28,-124,23
31,18,57,41,10,20.0095,-59.9874,-9.9955,0,-0.0343323,0,31,-122,28
32,18,57,41,15,20.0102,-59.9874,-9.9955,0,-0.0130463,0,31,-124,28
33,18,57,41,20,20.0095,-59.9874,-9.99481,0,0.00274658,0,30,-125,29
34,18,57,41,25,20.0102,-59.9874,-9.99481,0,-0.030899,0,31,-122,30
35,18,57,41,30,20.0095,-59.9874,-9.99481,0,-0.0178528,0,29,-124,30
